inc, dec, min, rand 
15, 13, 13, 16 
16, 14, 14, 15 
17, 14, 14, 14 
15, 13, 13, 15 
16, 13, 12, 13 
17, 14, 13, 15 
15, 14, 15, 16 
16, 14, 14, 14 
17, 13, 13, 13 
17, 15, 14, 15 
