n , PmodN , PsquaremodN ,-1,2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97
27,3328854275,-17892,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,5206636171,27477,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
131,1821227876,-58996,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,7599023231,,  ,,,,,,,,,,,,,,,,,,,,,,,,,
,7680949705,,,,,,,,,,,,,,,,,,,,,,,,,,,
